1,BANCO DO BRASIL,364
2,BRB,1
3,ANGELA CONCEIÇÃO,1
4,ITAÚ ADMINISTRADORA DE CONSÓRCIOS,1
5,HC PNEUS,6
6,ELETROBRAS ESTABELECIMENTOS UNIFICADOS,1
7,SLAVIEIRO,1
8,BRAZILIA IMOVEIS E COMERCIO,1
9,CENTRIK ELETRODOMÉSTICOS,1
10,PAZZINI ELETRONICA E INFORMATICA COMERCIO E SERVICOS,1
11,TECNOPONTA INFORMATICA,1
12,MARCELY,1
13,ZAMBRANO,1
14,SAYURI ACESSÓRIOS,1
15,BLOCKBUSTER VÍDEO,1
16,BATIKI COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO,1
17,LORD,1
18,GRUPO SENARC,1
19,COLÉGIO MÉRITO,1
20,ORITRON (SUZUKI),1
21,ASSIST-CARD DO BRASIL,1
22,MOTOROLA,5
23,SPTV ASSISTENCIA TECNICA,2
24,ELEVADORES ATLAS SCHINDLER,1
25,CASA NOVA VEICULOS / CN VEÍCULOS,1
26,GENERAL ELETRIC,6
27,ELETRÔNICA CHAVES,1
28,CESPE UNB,1
29,BENSTUR,1
30,CURINGA DOS PNEUS,3
31,FACULDADE E COLEGIO SUL D'AMERICA,1
32,NILL,1
33,STARNEW INFORMATICA,1
34,ETEMA-AGENTE,1
35,SULCRED,1
36,AUTORIO VEICULOS E EQUIPAMENTOS,1
37,O CICLISMO,1
38,DAFONTE VEICULOS,1
39,WAL MART BRASIL,28
40,VOUGA,1
41,CETELBRAS EDUCACIONAL,2
42,LOGIN INFORMATICA,6
43,HAIKAR VEICULOS,1
44,FIO FILLÓ,1
45,REI DAS MOTOS,2
46,MANIA VIRTUAL.COM,2
47,ESCOLA GRANDASO,1
48,ABC INFORMÁTICA,1
49,MAKITAO,1
50,LEV´SPUMA INDÚSTRIA DE COLCHÕES,1
51,TAPAJÓS,2
52,SOS COMPUTADORES,22
53,ARZON,1
54,VIDRO SERVIC,1
55,CAESB,1
56,CONECT INFORMATICA (INFOSHOP),1
57,VAREJAO,1
58,FABIANO PARAFUSOS,1
59,PERFIL MÓVEIS,1
60,WTG VIAGENS E TURISMO,1
61,BANCO ÚNICO,2
62,SUPERMERCADO BOM VIZINHO,1
63,COLEGIO GOYASES,1
64,CONCRETO MATERIAIS PARA CONSTRUÇÃO,1
65,COMISSÃO FAZ NA TERRA,1
66,CIA. DA MODA,1
67,CONSTRUTORA SOMAR,1
68,TELECONTROL,1
69,ANNAAGUIAR,1
70,REFRIGERAÇÃO MONTESE,1
71,FRATELLO VEÍCULOS,1
72,COMÉRCIO DE ELETRODOMÉSTICOS/MULTIBENS,1
73,CASAS FREIRE.COM,4
74,ADELSON CAR,1
75,DOZE PES,1
76,CLUBE MONTREAL,1
77,AURELINO CORRETORA DE SEGUROS,1
78,EMCEL,1
79,CLASSMAQ,1
80,ABAMSP,1
